timestamp,component,namespace,pod,container,cpu,memory
2026-09-12T15:36:16+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,1m,122Mi
2026-09-12T15:36:17+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T15:36:31+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,363m,167Mi
2026-09-12T15:36:32+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T15:36:47+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,977m,173Mi
2026-09-12T15:36:47+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,71m,53Mi
2026-09-12T15:37:02+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,977m,173Mi
2026-09-12T15:37:02+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,75m,54Mi
2026-09-12T15:37:17+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,965m,173Mi
2026-09-12T15:37:17+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,75m,54Mi
2026-09-12T15:37:31+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,955m,175Mi
2026-09-12T15:37:32+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,83m,53Mi
2026-09-12T15:37:46+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,955m,177Mi
2026-09-12T15:37:47+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,81m,54Mi
2026-09-12T15:38:01+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,955m,177Mi
2026-09-12T15:38:02+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,83m,53Mi
2026-09-12T15:38:16+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,956m,177Mi
2026-09-12T15:38:17+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,80m,54Mi
2026-09-12T15:38:31+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,954m,178Mi
2026-09-12T15:38:31+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,82m,54Mi
2026-09-12T15:38:46+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,950m,180Mi
2026-09-12T15:38:46+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,80m,54Mi
2026-09-12T15:39:01+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,953m,180Mi
2026-09-12T15:39:01+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,80m,54Mi
2026-09-12T15:39:16+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,954m,180Mi
2026-09-12T15:39:16+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,82m,54Mi
2026-09-12T15:39:31+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,865m,180Mi
2026-09-12T15:39:31+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,46m,53Mi
2026-09-12T15:39:46+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,3m,180Mi
2026-09-12T15:39:46+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,15m,71Mi
2026-09-12T15:40:01+00:00,simulator,autoscaling-lab,metronome-simulator-58f995fbfb-r9sjf,simulator,2m,179Mi
2026-09-12T15:40:02+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,2m,53Mi
