scheduled_at,sample_started_at,sample_ended_at,sample_number,status,simulator_resources,locust_resources,replicas,simulator_pods,throttling
2026-09-12T15:36:16+00:00,2026-09-12T15:36:16+00:00,2026-09-12T15:36:17+00:00,1,ok,ok,ok,ok,ok,ok
2026-09-12T15:36:31+00:00,2026-09-12T15:36:31+00:00,2026-09-12T15:36:32+00:00,2,ok,ok,ok,ok,ok,ok
2026-09-12T15:36:46+00:00,2026-09-12T15:36:46+00:00,2026-09-12T15:36:47+00:00,3,ok,ok,ok,ok,ok,ok
2026-09-12T15:37:01+00:00,2026-09-12T15:37:01+00:00,2026-09-12T15:37:02+00:00,4,ok,ok,ok,ok,ok,ok
2026-09-12T15:37:16+00:00,2026-09-12T15:37:16+00:00,2026-09-12T15:37:17+00:00,5,ok,ok,ok,ok,ok,ok
2026-09-12T15:37:31+00:00,2026-09-12T15:37:31+00:00,2026-09-12T15:37:32+00:00,6,ok,ok,ok,ok,ok,ok
2026-09-12T15:37:46+00:00,2026-09-12T15:37:46+00:00,2026-09-12T15:37:47+00:00,7,ok,ok,ok,ok,ok,ok
2026-09-12T15:38:01+00:00,2026-09-12T15:38:01+00:00,2026-09-12T15:38:02+00:00,8,ok,ok,ok,ok,ok,ok
2026-09-12T15:38:16+00:00,2026-09-12T15:38:16+00:00,2026-09-12T15:38:17+00:00,9,ok,ok,ok,ok,ok,ok
2026-09-12T15:38:31+00:00,2026-09-12T15:38:31+00:00,2026-09-12T15:38:32+00:00,10,ok,ok,ok,ok,ok,ok
2026-09-12T15:38:46+00:00,2026-09-12T15:38:46+00:00,2026-09-12T15:38:47+00:00,11,ok,ok,ok,ok,ok,ok
2026-09-12T15:39:01+00:00,2026-09-12T15:39:01+00:00,2026-09-12T15:39:02+00:00,12,ok,ok,ok,ok,ok,ok
2026-09-12T15:39:16+00:00,2026-09-12T15:39:16+00:00,2026-09-12T15:39:17+00:00,13,ok,ok,ok,ok,ok,ok
2026-09-12T15:39:31+00:00,2026-09-12T15:39:31+00:00,2026-09-12T15:39:32+00:00,14,ok,ok,ok,ok,ok,ok
2026-09-12T15:39:46+00:00,2026-09-12T15:39:46+00:00,2026-09-12T15:39:47+00:00,15,ok,ok,ok,ok,ok,ok
2026-09-12T15:40:01+00:00,2026-09-12T15:40:01+00:00,2026-09-12T15:40:03+00:00,16,ok,ok,ok,ok,ok,ok
