timestamp,component,namespace,pod,container,cpu,memory
2026-09-12T10:27:47+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,1m,144Mi
2026-09-12T10:27:47+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T10:28:02+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,1m,144Mi
2026-09-12T10:28:02+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,2m,53Mi
2026-09-12T10:28:16+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,280m,163Mi
2026-09-12T10:28:16+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,39m,53Mi
2026-09-12T10:28:31+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,280m,163Mi
2026-09-12T10:28:31+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,42m,53Mi
2026-09-12T10:28:47+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,499m,164Mi
2026-09-12T10:28:47+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,39m,53Mi
2026-09-12T10:29:01+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,501m,165Mi
2026-09-12T10:29:01+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,44m,53Mi
2026-09-12T10:29:16+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,499m,165Mi
2026-09-12T10:29:16+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,43m,53Mi
2026-09-12T10:29:31+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,501m,165Mi
2026-09-12T10:29:31+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,44m,53Mi
2026-09-12T10:29:46+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,499m,165Mi
2026-09-12T10:29:47+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,45m,53Mi
2026-09-12T10:30:02+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,501m,165Mi
2026-09-12T10:30:02+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,45m,53Mi
2026-09-12T10:30:16+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,165Mi
2026-09-12T10:30:16+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,44m,53Mi
2026-09-12T10:30:31+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,165Mi
2026-09-12T10:30:31+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,45m,53Mi
2026-09-12T10:30:46+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,166Mi
2026-09-12T10:30:47+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,44m,53Mi
2026-09-12T10:31:02+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,166Mi
2026-09-12T10:31:02+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,47m,53Mi
2026-09-12T10:31:16+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,56m,165Mi
2026-09-12T10:31:17+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T10:31:32+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,2m,165Mi
2026-09-12T10:31:32+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,2m,53Mi
