scheduled_at,sample_started_at,sample_ended_at,sample_number,status,simulator_resources,locust_resources,replicas,simulator_pods,throttling
2026-09-12T10:27:46+00:00,2026-09-12T10:27:46+00:00,2026-09-12T10:27:47+00:00,1,ok,ok,ok,ok,ok,ok
2026-09-12T10:28:01+00:00,2026-09-12T10:28:01+00:00,2026-09-12T10:28:03+00:00,2,ok,ok,ok,ok,ok,ok
2026-09-12T10:28:16+00:00,2026-09-12T10:28:16+00:00,2026-09-12T10:28:17+00:00,3,ok,ok,ok,ok,ok,ok
2026-09-12T10:28:31+00:00,2026-09-12T10:28:31+00:00,2026-09-12T10:28:32+00:00,4,ok,ok,ok,ok,ok,ok
2026-09-12T10:28:46+00:00,2026-09-12T10:28:46+00:00,2026-09-12T10:28:48+00:00,5,ok,ok,ok,ok,ok,ok
2026-09-12T10:29:01+00:00,2026-09-12T10:29:01+00:00,2026-09-12T10:29:02+00:00,6,ok,ok,ok,ok,ok,ok
2026-09-12T10:29:16+00:00,2026-09-12T10:29:16+00:00,2026-09-12T10:29:17+00:00,7,ok,ok,ok,ok,ok,ok
2026-09-12T10:29:31+00:00,2026-09-12T10:29:31+00:00,2026-09-12T10:29:32+00:00,8,ok,ok,ok,ok,ok,ok
2026-09-12T10:29:46+00:00,2026-09-12T10:29:46+00:00,2026-09-12T10:29:47+00:00,9,ok,ok,ok,ok,ok,ok
2026-09-12T10:30:01+00:00,2026-09-12T10:30:01+00:00,2026-09-12T10:30:03+00:00,10,ok,ok,ok,ok,ok,ok
2026-09-12T10:30:16+00:00,2026-09-12T10:30:16+00:00,2026-09-12T10:30:17+00:00,11,ok,ok,ok,ok,ok,ok
2026-09-12T10:30:31+00:00,2026-09-12T10:30:31+00:00,2026-09-12T10:30:32+00:00,12,ok,ok,ok,ok,ok,ok
2026-09-12T10:30:46+00:00,2026-09-12T10:30:46+00:00,2026-09-12T10:30:47+00:00,13,ok,ok,ok,ok,ok,ok
2026-09-12T10:31:01+00:00,2026-09-12T10:31:01+00:00,2026-09-12T10:31:02+00:00,14,ok,ok,ok,ok,ok,ok
2026-09-12T10:31:16+00:00,2026-09-12T10:31:16+00:00,2026-09-12T10:31:17+00:00,15,ok,ok,ok,ok,ok,ok
2026-09-12T10:31:31+00:00,2026-09-12T10:31:31+00:00,2026-09-12T10:31:32+00:00,16,ok,ok,ok,ok,ok,ok
