timestamp,component,namespace,pod,container,cpu,memory
2026-09-12T09:55:09+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,5m,133Mi
2026-09-12T09:55:09+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,2m,53Mi
2026-09-12T09:55:24+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,5m,133Mi
2026-09-12T09:55:24+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:55:39+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,2m,133Mi
2026-09-12T09:55:39+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:55:55+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,2m,133Mi
2026-09-12T09:55:55+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:56:10+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,2m,133Mi
2026-09-12T09:56:10+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:56:25+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,3m,133Mi
2026-09-12T09:56:25+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:56:39+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,3m,133Mi
2026-09-12T09:56:40+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:56:54+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,2m,133Mi
2026-09-12T09:56:54+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:57:09+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,2m,133Mi
2026-09-12T09:57:09+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:57:24+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,2m,133Mi
2026-09-12T09:57:24+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:57:39+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,3m,133Mi
2026-09-12T09:57:39+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:57:54+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,3m,133Mi
2026-09-12T09:57:54+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:58:10+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,2m,133Mi
2026-09-12T09:58:10+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:58:25+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,2m,133Mi
2026-09-12T09:58:25+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T09:58:39+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,2m,133Mi
2026-09-12T09:58:40+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,2m,53Mi
2026-09-12T09:58:55+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,3m,133Mi
2026-09-12T09:58:55+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,2m,53Mi
