scheduled_at,sample_started_at,sample_ended_at,sample_number,status,simulator_resources,locust_resources,replicas,simulator_pods,throttling
2026-09-12T09:55:09+00:00,2026-09-12T09:55:09+00:00,2026-09-12T09:55:10+00:00,1,ok,ok,ok,ok,ok,ok
2026-09-12T09:55:24+00:00,2026-09-12T09:55:24+00:00,2026-09-12T09:55:25+00:00,2,ok,ok,ok,ok,ok,ok
2026-09-12T09:55:39+00:00,2026-09-12T09:55:39+00:00,2026-09-12T09:55:39+00:00,3,ok,ok,ok,ok,ok,ok
2026-09-12T09:55:54+00:00,2026-09-12T09:55:54+00:00,2026-09-12T09:55:55+00:00,4,ok,ok,ok,ok,ok,ok
2026-09-12T09:56:09+00:00,2026-09-12T09:56:09+00:00,2026-09-12T09:56:10+00:00,5,ok,ok,ok,ok,ok,ok
2026-09-12T09:56:24+00:00,2026-09-12T09:56:24+00:00,2026-09-12T09:56:25+00:00,6,ok,ok,ok,ok,ok,ok
2026-09-12T09:56:39+00:00,2026-09-12T09:56:39+00:00,2026-09-12T09:56:40+00:00,7,ok,ok,ok,ok,ok,ok
2026-09-12T09:56:54+00:00,2026-09-12T09:56:54+00:00,2026-09-12T09:56:55+00:00,8,ok,ok,ok,ok,ok,ok
2026-09-12T09:57:09+00:00,2026-09-12T09:57:09+00:00,2026-09-12T09:57:10+00:00,9,ok,ok,ok,ok,ok,ok
2026-09-12T09:57:24+00:00,2026-09-12T09:57:24+00:00,2026-09-12T09:57:25+00:00,10,ok,ok,ok,ok,ok,ok
2026-09-12T09:57:39+00:00,2026-09-12T09:57:39+00:00,2026-09-12T09:57:40+00:00,11,ok,ok,ok,ok,ok,ok
2026-09-12T09:57:54+00:00,2026-09-12T09:57:54+00:00,2026-09-12T09:57:55+00:00,12,ok,ok,ok,ok,ok,ok
2026-09-12T09:58:09+00:00,2026-09-12T09:58:09+00:00,2026-09-12T09:58:10+00:00,13,ok,ok,ok,ok,ok,ok
2026-09-12T09:58:24+00:00,2026-09-12T09:58:24+00:00,2026-09-12T09:58:26+00:00,14,ok,ok,ok,ok,ok,ok
2026-09-12T09:58:39+00:00,2026-09-12T09:58:39+00:00,2026-09-12T09:58:41+00:00,15,ok,ok,ok,ok,ok,ok
2026-09-12T09:58:54+00:00,2026-09-12T09:58:54+00:00,2026-09-12T09:58:56+00:00,16,ok,ok,ok,ok,ok,ok
