timestamp,current_cpu_utilization,current_cpu_average_value,target_cpu_utilization,current_replicas,desired_replicas,condition_reasons
"2026-09-13T14:39:13+00:00",0,"1m",70,1,1,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=True:TooFewReplicas"
"2026-09-13T14:39:28+00:00",0,"2m",70,1,1,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=True:TooFewReplicas"
"2026-09-13T14:39:43+00:00",0,"1m",70,1,1,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=True:TooFewReplicas"
"2026-09-13T14:39:59+00:00",0,"1m",70,1,1,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=True:TooFewReplicas"
"2026-09-13T14:40:13+00:00",0,"1m",70,1,1,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=True:TooFewReplicas"
"2026-09-13T14:40:29+00:00",121,"609m",70,1,2,"AbleToScale=True:SucceededRescale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:40:44+00:00",199,"999m",70,2,3,"AbleToScale=True:SucceededRescale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:40:58+00:00",169,"849m",70,3,5,"AbleToScale=True:SucceededRescale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:41:14+00:00",108,"544m",70,5,5,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:41:29+00:00",120,"602m",70,5,6,"AbleToScale=True:SucceededRescale;ScalingActive=True:ValidMetricFound;ScalingLimited=True:TooManyReplicas"
"2026-09-13T14:41:43+00:00",93,"466m",70,6,6,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:41:59+00:00",87,"438m",70,6,6,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:42:13+00:00",82,"412m",70,6,6,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=True:TooManyReplicas"
"2026-09-13T14:42:29+00:00",80,"400m",70,6,6,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=True:TooManyReplicas"
"2026-09-13T14:42:43+00:00",82,"414m",70,6,6,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=True:TooManyReplicas"
"2026-09-13T14:42:59+00:00",80,"403m",70,6,6,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=True:TooManyReplicas"
"2026-09-13T14:43:13+00:00",76,"382m",70,6,6,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:43:28+00:00",13,"68m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:43:43+00:00",0,"2m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:43:58+00:00",0,"1m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:44:14+00:00",0,"1m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:44:28+00:00",0,"1m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:44:43+00:00",0,"1m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:44:58+00:00",12,"62m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:45:13+00:00",5,"29m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
