timestamp,desired_replicas,current_replicas,updated_replicas,available_replicas,ready_replicas,unavailable_replicas
"2026-09-13T14:39:13+00:00",1,1,1,1,1,0
"2026-09-13T14:39:28+00:00",1,1,1,1,1,0
"2026-09-13T14:39:44+00:00",1,1,1,1,1,0
"2026-09-13T14:39:59+00:00",1,1,1,1,1,0
"2026-09-13T14:40:13+00:00",1,1,1,1,1,0
"2026-09-13T14:40:29+00:00",2,2,2,1,1,1
"2026-09-13T14:40:44+00:00",3,3,3,2,2,1
"2026-09-13T14:40:59+00:00",5,5,5,3,3,2
"2026-09-13T14:41:14+00:00",5,5,5,5,5,0
"2026-09-13T14:41:29+00:00",6,6,6,5,5,1
"2026-09-13T14:41:43+00:00",6,6,6,6,6,0
"2026-09-13T14:41:59+00:00",6,6,6,6,6,0
"2026-09-13T14:42:13+00:00",6,6,6,6,6,0
"2026-09-13T14:42:29+00:00",6,6,6,6,6,0
"2026-09-13T14:42:43+00:00",6,6,6,6,6,0
"2026-09-13T14:42:59+00:00",6,6,6,6,6,0
"2026-09-13T14:43:13+00:00",6,6,6,6,6,0
"2026-09-13T14:43:28+00:00",6,6,6,6,6,0
"2026-09-13T14:43:43+00:00",6,6,6,6,6,0
"2026-09-13T14:43:59+00:00",6,6,6,6,6,0
"2026-09-13T14:44:14+00:00",6,6,6,6,6,0
"2026-09-13T14:44:28+00:00",6,6,6,6,6,0
"2026-09-13T14:44:43+00:00",6,6,6,6,6,0
"2026-09-13T14:44:58+00:00",6,6,6,6,6,0
"2026-09-13T14:45:13+00:00",6,6,6,6,6,0
"2026-09-13T14:45:29+00:00",6,6,6,6,6,0
"2026-09-13T14:45:44+00:00",6,6,6,6,6,0
"2026-09-13T14:45:58+00:00",6,6,6,6,6,0
"2026-09-13T14:46:13+00:00",6,6,6,6,6,0
"2026-09-13T14:46:28+00:00",6,6,6,6,6,0
"2026-09-13T14:46:43+00:00",6,6,6,6,6,0
"2026-09-13T14:46:58+00:00",6,6,6,6,6,0
"2026-09-13T14:47:13+00:00",6,6,6,6,6,0
"2026-09-13T14:47:28+00:00",6,6,6,6,6,0
"2026-09-13T14:47:43+00:00",6,6,6,6,6,0
"2026-09-13T14:47:59+00:00",6,6,6,6,6,0
"2026-09-13T14:48:14+00:00",2,2,2,2,2,0
"2026-09-13T14:48:29+00:00",2,2,2,2,2,0
"2026-09-13T14:48:44+00:00",2,2,2,2,2,0
"2026-09-13T14:48:58+00:00",2,2,2,2,2,0
