scheduled_at,sample_started_at,sample_completed_at,sample_number,status,hpa,deployment,pods,pod_metrics,endpointslices
2026-09-13T14:39:13+00:00,2026-09-13T14:39:13+00:00,2026-09-13T14:39:14+00:00,1,ok,ok,ok,ok,ok,ok
2026-09-13T14:39:28+00:00,2026-09-13T14:39:28+00:00,2026-09-13T14:39:29+00:00,2,ok,ok,ok,ok,ok,ok
2026-09-13T14:39:43+00:00,2026-09-13T14:39:43+00:00,2026-09-13T14:39:44+00:00,3,ok,ok,ok,ok,ok,ok
2026-09-13T14:39:58+00:00,2026-09-13T14:39:58+00:00,2026-09-13T14:40:00+00:00,4,ok,ok,ok,ok,ok,ok
2026-09-13T14:40:13+00:00,2026-09-13T14:40:13+00:00,2026-09-13T14:40:14+00:00,5,ok,ok,ok,ok,ok,ok
2026-09-13T14:40:28+00:00,2026-09-13T14:40:28+00:00,2026-09-13T14:40:30+00:00,6,ok,ok,ok,ok,ok,ok
2026-09-13T14:40:43+00:00,2026-09-13T14:40:43+00:00,2026-09-13T14:40:47+00:00,7,ok,ok,ok,ok,ok,ok
2026-09-13T14:40:58+00:00,2026-09-13T14:40:58+00:00,2026-09-13T14:41:02+00:00,8,ok,ok,ok,ok,ok,ok
2026-09-13T14:41:13+00:00,2026-09-13T14:41:13+00:00,2026-09-13T14:41:16+00:00,9,ok,ok,ok,ok,ok,ok
2026-09-13T14:41:28+00:00,2026-09-13T14:41:28+00:00,2026-09-13T14:41:31+00:00,10,ok,ok,ok,ok,ok,ok
2026-09-13T14:41:43+00:00,2026-09-13T14:41:43+00:00,2026-09-13T14:41:44+00:00,11,ok,ok,ok,ok,ok,ok
2026-09-13T14:41:58+00:00,2026-09-13T14:41:58+00:00,2026-09-13T14:42:00+00:00,12,ok,ok,ok,ok,ok,ok
2026-09-13T14:42:13+00:00,2026-09-13T14:42:13+00:00,2026-09-13T14:42:14+00:00,13,ok,ok,ok,ok,ok,ok
2026-09-13T14:42:28+00:00,2026-09-13T14:42:28+00:00,2026-09-13T14:42:30+00:00,14,ok,ok,ok,ok,ok,ok
2026-09-13T14:42:43+00:00,2026-09-13T14:42:43+00:00,2026-09-13T14:42:44+00:00,15,ok,ok,ok,ok,ok,ok
2026-09-13T14:42:58+00:00,2026-09-13T14:42:58+00:00,2026-09-13T14:43:02+00:00,16,ok,ok,ok,ok,ok,ok
2026-09-13T14:43:13+00:00,2026-09-13T14:43:13+00:00,2026-09-13T14:43:14+00:00,17,ok,ok,ok,ok,ok,ok
2026-09-13T14:43:28+00:00,2026-09-13T14:43:28+00:00,2026-09-13T14:43:29+00:00,18,ok,ok,ok,ok,ok,ok
2026-09-13T14:43:43+00:00,2026-09-13T14:43:43+00:00,2026-09-13T14:43:44+00:00,19,ok,ok,ok,ok,ok,ok
2026-09-13T14:43:58+00:00,2026-09-13T14:43:58+00:00,2026-09-13T14:43:59+00:00,20,ok,ok,ok,ok,ok,ok
2026-09-13T14:44:13+00:00,2026-09-13T14:44:13+00:00,2026-09-13T14:44:15+00:00,21,ok,ok,ok,ok,ok,ok
2026-09-13T14:44:28+00:00,2026-09-13T14:44:28+00:00,2026-09-13T14:44:29+00:00,22,ok,ok,ok,ok,ok,ok
2026-09-13T14:44:43+00:00,2026-09-13T14:44:43+00:00,2026-09-13T14:44:44+00:00,23,ok,ok,ok,ok,ok,ok
2026-09-13T14:44:58+00:00,2026-09-13T14:44:58+00:00,2026-09-13T14:44:59+00:00,24,ok,ok,ok,ok,ok,ok
2026-09-13T14:45:13+00:00,2026-09-13T14:45:13+00:00,2026-09-13T14:45:14+00:00,25,ok,ok,ok,ok,ok,ok
2026-09-13T14:45:28+00:00,2026-09-13T14:45:28+00:00,2026-09-13T14:45:29+00:00,26,ok,ok,ok,ok,ok,ok
2026-09-13T14:45:43+00:00,2026-09-13T14:45:43+00:00,2026-09-13T14:45:45+00:00,27,ok,ok,ok,ok,ok,ok
2026-09-13T14:45:58+00:00,2026-09-13T14:45:58+00:00,2026-09-13T14:45:59+00:00,28,ok,ok,ok,ok,ok,ok
2026-09-13T14:46:13+00:00,2026-09-13T14:46:13+00:00,2026-09-13T14:46:14+00:00,29,ok,ok,ok,ok,ok,ok
2026-09-13T14:46:28+00:00,2026-09-13T14:46:28+00:00,2026-09-13T14:46:29+00:00,30,ok,ok,ok,ok,ok,ok
2026-09-13T14:46:43+00:00,2026-09-13T14:46:43+00:00,2026-09-13T14:46:44+00:00,31,ok,ok,ok,ok,ok,ok
2026-09-13T14:46:58+00:00,2026-09-13T14:46:58+00:00,2026-09-13T14:46:59+00:00,32,ok,ok,ok,ok,ok,ok
2026-09-13T14:47:13+00:00,2026-09-13T14:47:13+00:00,2026-09-13T14:47:14+00:00,33,ok,ok,ok,ok,ok,ok
2026-09-13T14:47:28+00:00,2026-09-13T14:47:28+00:00,2026-09-13T14:47:29+00:00,34,ok,ok,ok,ok,ok,ok
2026-09-13T14:47:43+00:00,2026-09-13T14:47:43+00:00,2026-09-13T14:47:43+00:00,35,ok,ok,ok,ok,ok,ok
2026-09-13T14:47:58+00:00,2026-09-13T14:47:58+00:00,2026-09-13T14:47:59+00:00,36,ok,ok,ok,ok,ok,ok
2026-09-13T14:48:13+00:00,2026-09-13T14:48:13+00:00,2026-09-13T14:48:14+00:00,37,ok,ok,ok,ok,ok,ok
2026-09-13T14:48:28+00:00,2026-09-13T14:48:28+00:00,2026-09-13T14:48:29+00:00,38,ok,ok,ok,ok,ok,ok
2026-09-13T14:48:43+00:00,2026-09-13T14:48:43+00:00,2026-09-13T14:48:45+00:00,39,ok,ok,ok,ok,ok,ok
2026-09-13T14:48:58+00:00,2026-09-13T14:48:58+00:00,2026-09-13T14:48:59+00:00,40,ok,ok,ok,ok,ok,ok
