timestamp,current_cpu_utilization,current_cpu_average_value,target_cpu_utilization,current_replicas,desired_replicas,condition_reasons
"2026-09-13T15:51:26+00:00",0,"1m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:51:41+00:00",0,"1m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:51:57+00:00",0,"1m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:52:12+00:00",0,"1m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:52:26+00:00",109,"548m",70,1,2,"AbleToScale=True:SucceededRescale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:52:42+00:00",199,"995m",70,2,3,"AbleToScale=True:SucceededRescale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:52:56+00:00",164,"821m",70,3,3,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:53:11+00:00",144,"720m",70,3,5,"AbleToScale=True:SucceededRescale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:53:27+00:00",129,"649m",70,5,5,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:53:41+00:00",112,"562m",70,5,5,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:53:57+00:00",98,"493m",70,5,6,"AbleToScale=True:SucceededRescale;ScalingActive=True:ValidMetricFound;ScalingLimited=True:TooManyReplicas"
"2026-09-13T15:54:12+00:00",90,"450m",70,6,6,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
