timestamp,desired_replicas,current_replicas,updated_replicas,available_replicas,ready_replicas,unavailable_replicas
"2026-09-13T15:51:26+00:00",1,1,1,1,1,0
"2026-09-13T15:51:42+00:00",1,1,1,1,1,0
"2026-09-13T15:51:57+00:00",1,1,1,1,1,0
"2026-09-13T15:52:12+00:00",1,1,1,1,1,0
"2026-09-13T15:52:27+00:00",2,2,2,2,2,0
"2026-09-13T15:52:42+00:00",3,3,3,3,3,0
"2026-09-13T15:52:56+00:00",3,3,3,3,3,0
"2026-09-13T15:53:11+00:00",5,5,5,5,5,0
"2026-09-13T15:53:27+00:00",5,5,5,5,5,0
"2026-09-13T15:53:42+00:00",5,5,5,5,5,0
"2026-09-13T15:53:57+00:00",6,6,6,6,6,0
"2026-09-13T15:54:12+00:00",6,6,6,6,6,0
"2026-09-13T15:54:26+00:00",6,6,6,6,6,0
"2026-09-13T15:54:42+00:00",6,6,6,6,6,0
"2026-09-13T15:54:57+00:00",6,6,6,6,6,0
"2026-09-13T15:55:11+00:00",6,6,6,6,6,0
"2026-09-13T15:55:26+00:00",6,6,6,6,6,0
"2026-09-13T15:55:41+00:00",6,6,6,6,6,0
"2026-09-13T15:55:56+00:00",6,6,6,6,6,0
"2026-09-13T15:56:11+00:00",6,6,6,6,6,0
"2026-09-13T15:56:26+00:00",6,6,6,6,6,0
"2026-09-13T15:56:41+00:00",6,6,6,6,6,0
"2026-09-13T15:56:57+00:00",6,6,6,6,6,0
"2026-09-13T15:57:12+00:00",6,6,6,6,6,0
"2026-09-13T15:57:27+00:00",6,6,6,6,6,0
"2026-09-13T15:57:42+00:00",4,4,4,4,4,0
"2026-09-13T15:57:57+00:00",1,1,1,1,1,0
"2026-09-13T15:58:11+00:00",1,1,1,1,1,0
"2026-09-13T15:58:26+00:00",1,1,1,1,1,0
"2026-09-13T15:58:41+00:00",1,1,1,1,1,0
"2026-09-13T15:58:57+00:00",1,1,1,1,1,0
"2026-09-13T15:59:12+00:00",1,1,1,1,1,0
"2026-09-13T15:59:26+00:00",1,1,1,1,1,0
"2026-09-13T15:59:41+00:00",1,1,1,1,1,0
"2026-09-13T15:59:56+00:00",1,1,1,1,1,0
"2026-09-13T16:00:11+00:00",1,1,1,1,1,0
"2026-09-13T16:00:26+00:00",1,1,1,1,1,0
"2026-09-13T16:00:42+00:00",1,1,1,1,1,0
"2026-09-13T16:00:57+00:00",1,1,1,1,1,0
"2026-09-13T16:01:12+00:00",1,1,1,1,1,0
