scheduled_at,sample_started_at,sample_completed_at,sample_number,status,hpa,deployment,pods,pod_metrics,endpointslices
2026-09-13T15:51:26+00:00,2026-09-13T15:51:26+00:00,2026-09-13T15:51:27+00:00,1,ok,ok,ok,ok,ok,ok
2026-09-13T15:51:41+00:00,2026-09-13T15:51:41+00:00,2026-09-13T15:51:42+00:00,2,ok,ok,ok,ok,ok,ok
2026-09-13T15:51:56+00:00,2026-09-13T15:51:56+00:00,2026-09-13T15:51:57+00:00,3,ok,ok,ok,ok,ok,ok
2026-09-13T15:52:11+00:00,2026-09-13T15:52:11+00:00,2026-09-13T15:52:13+00:00,4,ok,ok,ok,ok,ok,ok
2026-09-13T15:52:26+00:00,2026-09-13T15:52:26+00:00,2026-09-13T15:52:27+00:00,5,ok,ok,ok,ok,ok,ok
2026-09-13T15:52:41+00:00,2026-09-13T15:52:41+00:00,2026-09-13T15:52:43+00:00,6,ok,ok,ok,ok,ok,ok
2026-09-13T15:52:56+00:00,2026-09-13T15:52:56+00:00,2026-09-13T15:52:57+00:00,7,ok,ok,ok,ok,ok,ok
2026-09-13T15:53:11+00:00,2026-09-13T15:53:11+00:00,2026-09-13T15:53:12+00:00,8,ok,ok,ok,ok,ok,ok
2026-09-13T15:53:26+00:00,2026-09-13T15:53:26+00:00,2026-09-13T15:53:28+00:00,9,ok,ok,ok,ok,ok,ok
2026-09-13T15:53:41+00:00,2026-09-13T15:53:41+00:00,2026-09-13T15:53:42+00:00,10,ok,ok,ok,ok,ok,ok
2026-09-13T15:53:56+00:00,2026-09-13T15:53:56+00:00,2026-09-13T15:53:58+00:00,11,ok,ok,ok,ok,ok,ok
2026-09-13T15:54:11+00:00,2026-09-13T15:54:11+00:00,2026-09-13T15:54:13+00:00,12,ok,ok,ok,ok,ok,ok
2026-09-13T15:54:26+00:00,2026-09-13T15:54:26+00:00,2026-09-13T15:54:27+00:00,13,ok,ok,ok,ok,ok,ok
2026-09-13T15:54:41+00:00,2026-09-13T15:54:41+00:00,2026-09-13T15:54:42+00:00,14,ok,ok,ok,ok,ok,ok
2026-09-13T15:54:56+00:00,2026-09-13T15:54:56+00:00,2026-09-13T15:54:57+00:00,15,ok,ok,ok,ok,ok,ok
2026-09-13T15:55:11+00:00,2026-09-13T15:55:11+00:00,2026-09-13T15:55:12+00:00,16,ok,ok,ok,ok,ok,ok
2026-09-13T15:55:26+00:00,2026-09-13T15:55:26+00:00,2026-09-13T15:55:27+00:00,17,ok,ok,ok,ok,ok,ok
2026-09-13T15:55:41+00:00,2026-09-13T15:55:41+00:00,2026-09-13T15:55:42+00:00,18,ok,ok,ok,ok,ok,ok
2026-09-13T15:55:56+00:00,2026-09-13T15:55:56+00:00,2026-09-13T15:55:57+00:00,19,ok,ok,ok,ok,ok,ok
2026-09-13T15:56:11+00:00,2026-09-13T15:56:11+00:00,2026-09-13T15:56:12+00:00,20,ok,ok,ok,ok,ok,ok
2026-09-13T15:56:26+00:00,2026-09-13T15:56:26+00:00,2026-09-13T15:56:27+00:00,21,ok,ok,ok,ok,ok,ok
2026-09-13T15:56:41+00:00,2026-09-13T15:56:41+00:00,2026-09-13T15:56:42+00:00,22,ok,ok,ok,ok,ok,ok
2026-09-13T15:56:56+00:00,2026-09-13T15:56:56+00:00,2026-09-13T15:56:57+00:00,23,ok,ok,ok,ok,ok,ok
2026-09-13T15:57:11+00:00,2026-09-13T15:57:11+00:00,2026-09-13T15:57:12+00:00,24,ok,ok,ok,ok,ok,ok
2026-09-13T15:57:26+00:00,2026-09-13T15:57:26+00:00,2026-09-13T15:57:27+00:00,25,ok,ok,ok,ok,ok,ok
2026-09-13T15:57:41+00:00,2026-09-13T15:57:41+00:00,2026-09-13T15:57:42+00:00,26,ok,ok,ok,ok,ok,ok
2026-09-13T15:57:56+00:00,2026-09-13T15:57:56+00:00,2026-09-13T15:57:57+00:00,27,ok,ok,ok,ok,ok,ok
2026-09-13T15:58:11+00:00,2026-09-13T15:58:11+00:00,2026-09-13T15:58:12+00:00,28,ok,ok,ok,ok,ok,ok
2026-09-13T15:58:26+00:00,2026-09-13T15:58:26+00:00,2026-09-13T15:58:27+00:00,29,ok,ok,ok,ok,ok,ok
2026-09-13T15:58:41+00:00,2026-09-13T15:58:41+00:00,2026-09-13T15:58:42+00:00,30,ok,ok,ok,ok,ok,ok
2026-09-13T15:58:56+00:00,2026-09-13T15:58:56+00:00,2026-09-13T15:58:57+00:00,31,ok,ok,ok,ok,ok,ok
2026-09-13T15:59:11+00:00,2026-09-13T15:59:11+00:00,2026-09-13T15:59:12+00:00,32,ok,ok,ok,ok,ok,ok
2026-09-13T15:59:26+00:00,2026-09-13T15:59:26+00:00,2026-09-13T15:59:27+00:00,33,ok,ok,ok,ok,ok,ok
2026-09-13T15:59:41+00:00,2026-09-13T15:59:41+00:00,2026-09-13T15:59:42+00:00,34,ok,ok,ok,ok,ok,ok
2026-09-13T15:59:56+00:00,2026-09-13T15:59:56+00:00,2026-09-13T15:59:57+00:00,35,ok,ok,ok,ok,ok,ok
2026-09-13T16:00:11+00:00,2026-09-13T16:00:11+00:00,2026-09-13T16:00:12+00:00,36,ok,ok,ok,ok,ok,ok
2026-09-13T16:00:26+00:00,2026-09-13T16:00:26+00:00,2026-09-13T16:00:26+00:00,37,ok,ok,ok,ok,ok,ok
2026-09-13T16:00:41+00:00,2026-09-13T16:00:41+00:00,2026-09-13T16:00:42+00:00,38,ok,ok,ok,ok,ok,ok
2026-09-13T16:00:56+00:00,2026-09-13T16:00:56+00:00,2026-09-13T16:00:57+00:00,39,ok,ok,ok,ok,ok,ok
2026-09-13T16:01:11+00:00,2026-09-13T16:01:11+00:00,2026-09-13T16:01:13+00:00,40,ok,ok,ok,ok,ok,ok
