timestamp,component,pod,cpu,memory
2026-09-04T10:03:09+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,2m,119Mi
2026-09-04T10:03:09+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,5m,37Mi
2026-09-04T10:03:25+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,9m,126Mi
2026-09-04T10:03:25+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,2m,37Mi
2026-09-04T10:03:40+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,1m,126Mi
2026-09-04T10:03:40+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,4m,37Mi
2026-09-04T10:03:55+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,1m,126Mi
2026-09-04T10:03:55+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,2m,37Mi
2026-09-04T10:04:11+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,1m,126Mi
2026-09-04T10:04:11+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,2m,37Mi
2026-09-04T10:04:26+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,1m,126Mi
2026-09-04T10:04:26+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,3m,37Mi
2026-09-04T10:04:42+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,1m,126Mi
2026-09-04T10:04:42+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,3m,37Mi
2026-09-04T10:04:57+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,1m,126Mi
2026-09-04T10:04:57+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,2m,37Mi
2026-09-04T10:05:13+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,207m,144Mi
2026-09-04T10:05:13+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,13m,38Mi
2026-09-04T10:05:29+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,499m,147Mi
2026-09-04T10:05:29+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,37m,40Mi
2026-09-04T10:05:44+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,500m,159Mi
2026-09-04T10:05:44+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,34m,40Mi
2026-09-04T10:06:00+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,63m,41Mi
2026-09-04T10:06:15+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,53m,126Mi
2026-09-04T10:06:15+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,22m,41Mi
2026-09-04T10:06:31+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,499m,153Mi
2026-09-04T10:06:31+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,23m,42Mi
2026-09-04T10:06:46+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,500m,159Mi
2026-09-04T10:06:46+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,39m,42Mi
2026-09-04T10:07:02+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,500m,159Mi
2026-09-04T10:07:02+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,43m,42Mi
2026-09-04T10:07:17+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,44m,42Mi
2026-09-04T10:07:33+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,92m,88Mi
2026-09-04T10:07:33+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,26m,43Mi
2026-09-04T10:07:48+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,279m,127Mi
2026-09-04T10:07:48+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,16m,43Mi
2026-09-04T10:08:04+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,501m,132Mi
2026-09-04T10:08:04+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,40m,43Mi
2026-09-04T10:08:19+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,331m,131Mi
2026-09-04T10:08:19+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,36m,42Mi
2026-09-04T10:08:35+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,12m,104Mi
2026-09-04T10:08:35+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,2m,42Mi
2026-09-04T10:08:50+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,88m,88Mi
2026-09-04T10:08:50+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,1m,42Mi
2026-09-04T10:09:06+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,1m,88Mi
2026-09-04T10:09:06+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,7m,48Mi
