timestamp,component,pod,cpu,memory
2026-09-08T02:23:36+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,15m,108Mi
2026-09-08T02:23:36+00:00,simulator,metronome-simulator-75c6d4c677-cv2rj,1m,179Mi
2026-09-08T02:23:36+00:00,simulator,metronome-simulator-75c6d4c677-zkh7r,1m,184Mi
2026-09-08T02:23:36+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,2m,46Mi
2026-09-08T02:23:52+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,1m,108Mi
2026-09-08T02:23:52+00:00,simulator,metronome-simulator-75c6d4c677-cv2rj,1m,179Mi
2026-09-08T02:23:52+00:00,simulator,metronome-simulator-75c6d4c677-zkh7r,1m,184Mi
2026-09-08T02:23:52+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,2m,46Mi
2026-09-08T02:24:08+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,147m,139Mi
2026-09-08T02:24:08+00:00,simulator,metronome-simulator-75c6d4c677-cv2rj,313m,205Mi
2026-09-08T02:24:08+00:00,simulator,metronome-simulator-75c6d4c677-zkh7r,293m,204Mi
2026-09-08T02:24:08+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,84m,51Mi
2026-09-08T02:24:23+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,499m,160Mi
2026-09-08T02:24:23+00:00,simulator,metronome-simulator-75c6d4c677-cv2rj,500m,218Mi
2026-09-08T02:24:23+00:00,simulator,metronome-simulator-75c6d4c677-zkh7r,501m,221Mi
2026-09-08T02:24:23+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,92m,51Mi
2026-09-08T02:24:39+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,500m,164Mi
2026-09-08T02:24:39+00:00,simulator,metronome-simulator-75c6d4c677-cv2rj,501m,220Mi
2026-09-08T02:24:39+00:00,simulator,metronome-simulator-75c6d4c677-zkh7r,499m,225Mi
2026-09-08T02:24:39+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,125m,52Mi
2026-09-08T02:24:55+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,500m,166Mi
2026-09-08T02:24:55+00:00,simulator,metronome-simulator-75c6d4c677-cv2rj,500m,221Mi
2026-09-08T02:24:55+00:00,simulator,metronome-simulator-75c6d4c677-zkh7r,500m,229Mi
2026-09-08T02:24:55+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,107m,51Mi
2026-09-08T02:25:10+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,216m,100Mi
2026-09-08T02:25:10+00:00,simulator,metronome-simulator-75c6d4c677-cv2rj,217m,103Mi
2026-09-08T02:25:10+00:00,simulator,metronome-simulator-75c6d4c677-zkh7r,225m,99Mi
2026-09-08T02:25:10+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,99m,52Mi
2026-09-08T02:25:26+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,195m,91Mi
2026-09-08T02:25:26+00:00,simulator,metronome-simulator-75c6d4c677-cv2rj,196m,109Mi
2026-09-08T02:25:26+00:00,simulator,metronome-simulator-75c6d4c677-zkh7r,211m,99Mi
2026-09-08T02:25:26+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,10m,52Mi
2026-09-08T02:25:41+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,5m,90Mi
2026-09-08T02:25:41+00:00,simulator,metronome-simulator-75c6d4c677-cv2rj,312m,131Mi
2026-09-08T02:25:41+00:00,simulator,metronome-simulator-75c6d4c677-zkh7r,295m,126Mi
2026-09-08T02:25:41+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,54m,53Mi
2026-09-08T02:25:57+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,135m,114Mi
2026-09-08T02:25:57+00:00,simulator,metronome-simulator-75c6d4c677-cv2rj,500m,135Mi
2026-09-08T02:25:57+00:00,simulator,metronome-simulator-75c6d4c677-zkh7r,502m,131Mi
2026-09-08T02:25:57+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,66m,52Mi
2026-09-08T02:26:13+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,135m,114Mi
2026-09-08T02:26:13+00:00,simulator,metronome-simulator-75c6d4c677-cv2rj,498m,138Mi
2026-09-08T02:26:13+00:00,simulator,metronome-simulator-75c6d4c677-zkh7r,497m,134Mi
2026-09-08T02:26:13+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,90m,52Mi
2026-09-08T02:26:28+00:00,simulator,metronome-simulator-75c6d4c677-5xnd7,498m,126Mi
2026-09-08T02:26:28+00:00,simulator,metronome-simulator-75c6d4c677-cv2rj,500m,139Mi
2026-09-08T02:26:28+00:00,load-generator,metronome-load-test-7c6bb54d47-nbj96,98m,52Mi
